system:time_start,SST
"Nov 17, 2021",28.718
"Nov 18, 2021",
"Nov 19, 2021",
"Nov 20, 2021",
"Nov 21, 2021",
"Nov 22, 2021",
"Nov 23, 2021",
"Nov 24, 2021",28.128
"Nov 25, 2021",
"Nov 26, 2021",
"Nov 27, 2021",28.111
"Nov 28, 2021",30.041
"Nov 29, 2021",
"Nov 30, 2021",
"Dec 1, 2021",
"Dec 2, 2021",28.756
"Dec 3, 2021",
"Dec 4, 2021",
"Dec 5, 2021",28.327
"Dec 6, 2021",29.234
"Dec 7, 2021",
"Dec 8, 2021",
"Dec 9, 2021",28.247
"Dec 10, 2021",28.263
"Dec 11, 2021",
"Dec 12, 2021",
"Dec 13, 2021",28.731
"Dec 14, 2021",
"Dec 15, 2021",
"Dec 16, 2021",27.2
"Dec 17, 2021",27.98
"Dec 18, 2021",
"Dec 19, 2021",
"Dec 20, 2021",
"Dec 21, 2021",
"Dec 22, 2021",
"Dec 23, 2021",
"Dec 24, 2021",27.577
"Dec 25, 2021",
"Dec 26, 2021",
"Dec 27, 2021",
"Dec 28, 2021",29.277
"Dec 29, 2021",
"Dec 30, 2021",
"Dec 31, 2021",28.15
"Jan 1, 2022",28.784
"Jan 2, 2022",
"Jan 3, 2022",
"Jan 4, 2022",28.282
"Jan 5, 2022",29.003
"Jan 6, 2022",
"Jan 7, 2022",
"Jan 8, 2022",29.134
"Jan 9, 2022",28.461
"Jan 10, 2022",
"Jan 11, 2022",
"Jan 12, 2022",29.105
"Jan 13, 2022",28.557
"Jan 14, 2022",
"Jan 15, 2022",28.66
"Jan 16, 2022",29.173
"Jan 17, 2022",
"Jan 18, 2022",
"Jan 19, 2022",28.721
